fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2000/04,,,,15.7,16.7
2000/05,,,,32.1,29.0
2000/06,11.299,18.74,5.97,100.0,100.0
2000/07,11.081,18.74,4.71,100.0,100.0
2000/08,,,,71.1,67.7
2000/09,10.789,20.63,4.96,88.1,86.7
2000/10,11.969,21.14,4.33,85.5,83.9
2000/11,11.369,19.75,3.70,100.0,100.0
2000/12,11.386,20.76,4.58,100.0,100.0
2001/01,,,,14.4,12.9
2001/02,,,,,
2001/03,,,,,
2001/04,,,,,
2001/05,,,,,
2001/06,,,,,
2001/07,,,,,
2001/08,,,,,
2001/09,,,,,
2001/10,,,,,
2001/11,,,,,
2001/12,,,,,
2002/01,,,,,
2002/02,,,,,
2002/03,,,,,
2002/04,,,,,
2002/05,,,,,
2002/06,,,,,
2002/07,,,,,
2002/08,,,,,
2002/09,,,,,
2002/10,,,,,
2002/11,10.146,18.40,4.76,84.7,83.3
2002/12,11.720,23.42,5.02,100.0,100.0
2003/01,11.206,21.23,5.54,100.0,100.0
2003/02,10.008,18.53,5.66,83.8,82.1
2003/03,,,,,
2003/04,,,,6.7,6.7
2003/05,9.332,17.37,4.89,100.0,100.0
2003/06,9.040,16.34,5.15,100.0,100.0
2003/07,,,,46.8,45.2
2003/08,,,,,
2003/09,,,,,
2003/10,,,,,
2003/11,,,,,
2003/12,,,,,
2004/01,,,,,
2004/02,,,,,
2004/03,,,,69.4,67.7
2004/04,,,,,
2004/05,12.485,23.67,6.60,71.0,71.0
2004/06,,,,35.0,33.3
2004/07,12.094,21.14,5.21,100.0,100.0
2004/08,13.166,23.03,4.33,100.0,100.0
2004/09,12.171,22.78,5.34,95.1,93.3
2004/10,,,,,
2004/11,,,,,
2004/12,12.058,20.38,4.46,96.8,96.8
2005/01,12.168,22.15,4.96,100.0,100.0
2005/02,12.902,22.02,5.21,100.0,100.0
2005/03,12.387,20.00,6.73,100.0,100.0
2005/04,12.804,20.76,7.49,100.0,100.0
2005/05,12.704,22.53,5.85,100.0,100.0
2005/06,13.925,24.42,6.73,100.0,100.0
2005/07,13.232,25.31,4.20,100.0,100.0
2005/08,12.778,22.15,4.20,100.0,100.0
2005/09,12.820,22.15,4.96,100.0,100.0
2005/10,11.841,21.14,5.85,100.0,100.0
2005/11,11.693,20.51,4.20,100.0,100.0
2005/12,11.264,21.26,4.96,100.0,100.0
2006/01,11.897,19.87,5.47,100.0,100.0
2006/02,12.360,20.38,6.10,100.0,100.0
2006/03,,,,24.3,22.6
2006/04,11.844,20.25,6.10,100.0,100.0
2006/05,12.504,21.14,4.58,100.0,100.0
2006/06,12.199,21.26,3.32,100.0,100.0
2006/07,12.641,22.02,3.70,100.0,100.0
2006/08,12.820,22.40,4.83,100.0,100.0
2006/09,12.258,22.78,3.95,100.0,100.0
2006/10,,,,56.7,54.8
